auteur,date_exacte,age,message
Huy Phan Anh Ha,2025-09-07 22:14:46 -0400,il y a 2 mois,"poker rework ai turns, chips and community cards rework"
Huy Phan Anh Ha,2025-09-06 22:07:33 -0400,il y a 2 mois,"created a full frontend poker game for testing, still needs some work."
Huy Phan Anh Ha,2025-09-01 07:10:12 -0400,il y a 3 mois,"changed to dollar sign"
Huy Phan Anh Ha,2025-08-25 23:47:44 -0400,il y a 3 mois,"made the cards stay on hand"
Huy Phan Anh Ha,2025-08-25 18:23:28 -0400,il y a 3 mois,"Poker rework 1 added flop showing and changed the game to player vs ai. Hand compare rewrok."
Huy Phan Anh Ha,2025-08-24 15:22:52 -0400,il y a 3 mois,"ai action fix and schema modifications"
Huy Phan Anh Ha,2025-08-20 20:51:01 -0400,il y a 3 mois,"sports api rework 3"
Huy Phan Anh Ha,2025-08-20 20:48:17 -0400,il y a 3 mois,"sports api rework"
Huy Phan Anh Ha,2025-08-19 22:03:33 -0400,il y a 3 mois,"poker rework 2"
Huy Phan Anh Ha,2025-08-17 22:12:42 -0400,il y a 3 mois,"added multiplayer table"
Huy Phan Anh Ha,2025-08-16 15:42:46 -0400,il y a 3 mois,"added sports betting into my app"
Huy Phan Anh Ha,2025-08-16 10:31:23 -0400,il y a 3 mois,"added highlights to cards"
Huy Phan Anh Ha,2025-08-15 21:56:41 -0400,il y a 3 mois,"added nav bar to all games"
Huy Phan Anh Ha,2025-08-15 21:07:26 -0400,il y a 3 mois,"Poker small rework and design add-on"
Huy Phan Anh Ha,2025-08-15 18:10:22 -0400,il y a 3 mois,"Poker design and rework"
Huy Phan Anh Ha,2025-08-14 11:16:38 -0400,il y a 3 mois,"unocard design changes"
Huy Phan Anh Ha,2025-08-13 18:05:18 -0400,il y a 3 mois,"uno rework 3"
Huy Phan Anh Ha,2025-08-13 16:41:44 -0400,il y a 3 mois,"finished game uno rework"
Huy Phan Anh Ha,2025-08-13 12:50:04 -0400,il y a 3 mois,"rework 2 uno"
Huy Phan Anh Ha,2025-08-12 22:22:31 -0400,il y a 3 mois,"reworked uno game"
Huy Phan Anh Ha,2025-08-11 11:02:52 -0400,il y a 3 mois,"changed 2048 game to keno game"
Huy Phan Anh Ha,2025-08-10 17:03:18 -0400,il y a 3 mois,"feat: Enhance Plinko game with risk level selection and responsive board size"
Huy Phan Anh Ha,2025-08-09 22:08:13 -0400,il y a 3 mois,"modified rps game"
Huy Phan Anh Ha,2025-08-09 18:35:28 -0400,il y a 3 mois,"added responsiveness to roulette game"
Huy Phan Anh Ha,2025-08-09 17:45:51 -0400,il y a 3 mois,"perfected the design for roulette"
Huy Phan Anh Ha,2025-08-09 13:16:28 -0400,il y a 3 mois,"modified roulette design"
Huy Phan Anh Ha,2025-08-08 18:52:05 -0400,il y a 3 mois,"reworked plinko"
Huy Phan Anh Ha,2025-08-08 17:55:09 -0400,il y a 3 mois,"added rock paper scissors game"
Huy Phan Anh Ha,2025-08-05 16:46:22 -0400,il y a 4 mois,"middleware public route add ons"
Huy Phan Anh Ha,2025-08-05 16:40:50 -0400,il y a 4 mois,"next config modify"
Huy Phan Anh Ha,2025-08-05 16:33:35 -0400,il y a 4 mois,"middleware tester 3"
Huy Phan Anh Ha,2025-08-05 16:31:23 -0400,il y a 4 mois,"middleware 2 test"
Huy Phan Anh Ha,2025-08-05 16:28:00 -0400,il y a 4 mois,"testing minimal middleware"
Huy Phan Anh Ha,2025-08-05 16:21:13 -0400,il y a 4 mois,"modified unogame uitls"
Huy Phan Anh Ha,2025-08-05 16:14:23 -0400,il y a 4 mois,"changed the sign up flow"
Huy Phan Anh Ha,2025-08-05 15:31:12 -0400,il y a 4 mois,"middleware change 3"
Huy Phan Anh Ha,2025-08-05 14:59:12 -0400,il y a 4 mois,"Merge branch 'main' of https://github.com/Hahuyphananh/Casino-app"
Huy Phan Anh Ha,2025-08-05 14:58:47 -0400,il y a 4 mois,"modified uno page"
Huy Phan Anh Ha,2025-08-05 14:53:28 -0400,il y a 4 mois,"middleware correction"
Huy Phan Anh Ha,2025-08-05 14:50:42 -0400,il y a 4 mois,"middleware correction"
Huy Phan Anh Ha,2025-08-05 14:32:48 -0400,il y a 4 mois,"modified middleware"
Huy Phan Anh Ha,2025-08-04 16:17:12 -0400,il y a 4 mois,"modified poker page"
Huy Phan Anh Ha,2025-08-03 22:08:51 -0400,il y a 4 mois,"updated uno and 2048 game"
Huy Phan Anh Ha,2025-07-31 22:18:13 -0400,il y a 4 mois,"added animation in slot machine"
Huy Phan Anh Ha,2025-07-29 21:48:47 -0400,il y a 4 mois,"added age verification"
Huy Phan Anh Ha,2025-07-25 10:44:56 -0400,il y a 4 mois,"updated uno game design"
Huy Phan Anh Ha,2025-07-22 07:37:58 -0400,il y a 4 mois,"created uno game modified poker game"
Huy Phan Anh Ha,2025-07-01 17:16:29 -0400,il y a 5 mois,"modified poker game"
Huy Phan Anh Ha,2025-06-30 07:14:24 -0400,il y a 5 mois,"modified poker and chess page"
Huy Phan Anh Ha,2025-06-22 18:21:58 -0400,il y a 5 mois,"added api routes to fetch sports"
Huy Phan Anh Ha,2025-06-21 17:24:34 -0400,il y a 5 mois,"added api key in env and modified main casino page"
Huy Phan Anh Ha,2025-06-19 18:32:46 -0400,il y a 5 mois,"modified middleware"
Huy Phan Anh Ha,2025-06-19 17:55:35 -0400,il y a 5 mois,"modified imports coinflip apis"
Huy Phan Anh Ha,2025-06-19 17:48:39 -0400,il y a 5 mois,"added multiplayer into my coinflip"
Huy Phan Anh Ha,2025-06-18 15:09:32 -0400,il y a 5 mois,"added token logic to slots"
Huy Phan Anh Ha,2025-06-18 12:07:20 -0400,il y a 5 mois,"added token logic to coin-flip"
Huy Phan Anh Ha,2025-06-15 18:18:51 -0400,il y a 5 mois,"added token logic to plinko"
Huy Phan Anh Ha,2025-06-14 18:40:00 -0400,il y a 5 mois,"crash game update 1"
Huy Phan Anh Ha,2025-06-14 16:57:59 -0400,il y a 5 mois,"added token logic to crash game"
Huy Phan Anh Ha,2025-06-13 16:18:29 -0400,il y a 5 mois,"modified mines page"
Huy Phan Anh Ha,2025-06-12 23:28:21 -0400,il y a 5 mois,"roulette fix"
Huy Phan Anh Ha,2025-06-11 15:34:27 -0400,il y a 5 mois,"updated blackjack design and api"
Huy Phan Anh Ha,2025-06-11 15:25:43 -0400,il y a 5 mois,"updated neon to websocket"
Huy Phan Anh Ha,2025-06-11 07:33:45 -0400,il y a 5 mois,"blackjack 2"
Huy Phan Anh Ha,2025-06-10 16:41:26 -0400,il y a 5 mois,"blackjack 1"
Huy Phan Anh Ha,2025-06-10 14:55:03 -0400,il y a 5 mois,"modified layout.tsx"
Huy Phan Anh Ha,2025-06-10 07:39:13 -0400,il y a 5 mois,"modified get-user-tokens 1"
Huy Phan Anh Ha,2025-06-09 15:57:53 -0400,il y a 5 mois,"get-user-token 1"
Huy Phan Anh Ha,2025-06-09 11:51:03 -0400,il y a 5 mois,"sync-user 1"
Huy Phan Anh Ha,2025-06-09 11:39:21 -0400,il y a 5 mois,"remodified fields route ts"
Huy Phan Anh Ha,2025-06-09 11:24:29 -0400,il y a 5 mois,"added all fields in route.ts"
Huy Phan Anh Ha,2025-06-09 10:37:47 -0400,il y a 5 mois,"added oauth password field"
Huy Phan Anh Ha,2025-06-09 07:42:28 -0400,il y a 5 mois,"modified route.ts to add drizzle"
Huy Phan Anh Ha,2025-06-08 20:39:33 -0400,il y a 5 mois,"modified sync user sign in and sign up"
Huy Phan Anh Ha,2025-06-06 21:55:20 -0400,il y a 6 mois,"centered the sign up pages"
Huy Phan Anh Ha,2025-06-06 15:50:39 -0400,il y a 6 mois,"sync-user api call token 1"
Huy Phan Anh Ha,2025-06-06 15:42:22 -0400,il y a 6 mois,"added jwt template in sync-user"
Huy Phan Anh Ha,2025-06-06 13:05:55 -0400,il y a 6 mois,"sportscard modify 2"
Huy Phan Anh Ha,2025-06-06 12:35:56 -0400,il y a 6 mois,"modified story component"
Huy Phan Anh Ha,2025-06-06 12:32:50 -0400,il y a 6 mois,"changed import sync-user 3"
Huy Phan Anh Ha,2025-06-06 11:55:29 -0400,il y a 6 mois,"sync-user api call 2"
Huy Phan Anh Ha,2025-06-06 11:20:20 -0400,il y a 6 mois,"sync-user api call 1"
Huy Phan Anh Ha,2025-06-06 11:13:16 -0400,il y a 6 mois,"added console log to sign up page"
Huy Phan Anh Ha,2025-06-05 10:58:26 -0400,il y a 6 mois,"modified sign in to add console log"
Huy Phan Anh Ha,2025-06-04 21:55:38 -0400,il y a 6 mois,"changed import to neon 2"
Huy Phan Anh Ha,2025-06-04 16:15:05 -0400,il y a 6 mois,"changed import to neon"
Huy Phan Anh Ha,2025-06-04 13:12:34 -0400,il y a 6 mois,"action.ts file"
Huy Phan Anh Ha,2025-06-04 13:12:19 -0400,il y a 6 mois,"added action.ts file"
Huy Phan Anh Ha,2025-06-03 10:09:09 -0400,il y a 6 mois,"reset-user-token 6"
Huy Phan Anh Ha,2025-06-03 09:30:16 -0400,il y a 6 mois,"reset-user-token 5"
Huy Phan Anh Ha,2025-06-03 09:26:24 -0400,il y a 6 mois,"reset-user-token 4"
Huy Phan Anh Ha,2025-06-03 09:25:02 -0400,il y a 6 mois,"reset-user-token 3"
Huy Phan Anh Ha,2025-06-02 15:25:59 -0400,il y a 6 mois,"reset-user-token 2"
Huy Phan Anh Ha,2025-06-02 15:23:41 -0400,il y a 6 mois,"updated reset-user-token"
Huy Phan Anh Ha,2025-06-02 13:57:44 -0400,il y a 6 mois,"get-user-token 6"
Huy Phan Anh Ha,2025-06-02 13:55:23 -0400,il y a 6 mois,"get-user-token 5"
Huy Phan Anh Ha,2025-06-02 13:52:29 -0400,il y a 6 mois,"get-user-token test 4"
Huy Phan Anh Ha,2025-06-02 13:50:37 -0400,il y a 6 mois,"get-user-tokens test 3"
Huy Phan Anh Ha,2025-06-02 13:47:24 -0400,il y a 6 mois,"get-user-tokens test 2"
Huy Phan Anh Ha,2025-06-02 13:44:51 -0400,il y a 6 mois,"get-user-token fix 1"
Huy Phan Anh Ha,2025-05-30 09:24:20 -0400,il y a 6 mois,"modified sync-user and fixed error jwt not defined"
Huy Phan Anh Ha,2025-05-29 13:12:00 -0400,il y a 6 mois,"jwt test 3"
Huy Phan Anh Ha,2025-05-29 13:07:52 -0400,il y a 6 mois,"modified navbar, second jwt test"
Huy Phan Anh Ha,2025-05-28 15:14:16 -0400,il y a 6 mois,"Remade the app normal 2"
Huy Phan Anh Ha,2025-05-28 13:01:50 -0400,il y a 6 mois,"jwt token test"
Huy Phan Anh Ha,2025-05-26 13:38:27 -0400,il y a 6 mois,"remade the app normal"
Huy Phan Anh Ha,2025-05-26 13:01:27 -0400,il y a 6 mois,"remodified the profile page and home page"
Huy Phan Anh Ha,2025-05-26 10:53:32 -0400,il y a 6 mois,"deleted all the await fetches in profile and home page"
Huy Phan Anh Ha,2025-05-26 10:35:22 -0400,il y a 6 mois,"modified aftersigninURL in sign up and sign in page"
Huy Phan Anh Ha,2025-05-26 10:08:45 -0400,il y a 6 mois,"modified middleware.ts"
Huy Phan Anh Ha,2025-05-23 07:03:17 -0400,il y a 6 mois,"renamed file"
Huy Phan Anh Ha,2025-05-22 22:29:06 -0400,il y a 6 mois,"Added sign in page, and added rows to neon db"
Huy Phan Anh Ha,2025-05-21 22:05:15 -0400,il y a 6 mois,"2048 animations added"
Huy Phan Anh Ha,2025-05-21 14:42:30 -0400,il y a 6 mois,"modified gameboard"
Huy Phan Anh Ha,2025-05-21 14:12:12 -0400,il y a 6 mois,"modified page.jsx 2048"
Huy Phan Anh Ha,2025-05-21 13:58:25 -0400,il y a 6 mois,"2048 modification"
Huy Phan Anh Ha,2025-05-19 20:55:10 -0400,il y a 6 mois,"Finished app setup"
Huy Phan Anh Ha,2025-05-15 21:56:27 -0400,il y a 6 mois,"modified some files"
Huy Phan Anh Ha,2025-05-15 15:17:50 -0400,il y a 6 mois,"installed cherrio"
Huy Phan Anh Ha,2025-05-15 13:00:00 -0400,il y a 6 mois,"fixed all routes"
Huy Phan Anh Ha,2025-05-14 21:26:10 -0400,il y a 6 mois,"modified route js files"
Huy Phan Anh Ha,2025-05-14 08:34:46 -0400,il y a 6 mois,"finished modified blackjack"
Huy Phan Anh Ha,2025-05-13 13:05:44 -0400,il y a 6 mois,"Replaced route ts with route.js"
Huy Phan Anh Ha,2025-05-13 10:28:34 -0400,il y a 6 mois,"removing route.js adding route.ts"
Huy Phan Anh Ha,2025-05-13 09:59:08 -0400,il y a 6 mois,"deploy 8"
Huy Phan Anh Ha,2025-05-12 16:21:33 -0400,il y a 6 mois,"try 7 deploy"
Huy Phan Anh Ha,2025-05-11 22:55:42 -0400,il y a 6 mois,"Redeployment change 6"
Huy Phan Anh Ha,2025-05-10 21:14:09 -0400,il y a 6 mois,"Redeployment 5"
Huy Phan Anh Ha,2025-05-10 11:19:30 -0400,il y a 6 mois,"Redeplyment change 4"
Huy Phan Anh Ha,2025-05-10 10:56:09 -0400,il y a 6 mois,"Redeployment changes 3"
Huy Phan Anh Ha,2025-05-10 09:18:13 -0400,il y a 6 mois,"Redeployement changes 2"
Huy Phan Anh Ha,2025-05-09 16:02:05 -0400,il y a 6 mois,"Package lock change"
Huy Phan Anh Ha,2025-05-09 07:31:29 -0400,il y a 7 mois,"Remodified tailwind.config, added animation for coin-flip and slot machine"
Huy Phan Anh Ha,2025-05-08 21:51:53 -0400,il y a 7 mois,"Added 2048 game"
Huy Phan Anh Ha,2025-05-08 21:51:38 -0400,il y a 7 mois,"Added 2048 game"
Huy Phan Anh Ha,2025-05-07 22:00:44 -0400,il y a 7 mois,"Adjusted coin-flip and slot machine for the casino."
Huy Phan Anh Ha,2025-05-07 10:54:57 -0400,il y a 7 mois,"modified the coinflip component"
Huy Phan Anh Ha,2025-05-06 19:18:00 +0000,il y a 7 mois,"Added Coin flip game and updated slots"
Huy Phan Anh Ha,2025-05-06 10:14:09 -0400,il y a 7 mois,"changed emojis"
Huy Phan Anh Ha,2025-05-05 19:12:32 -0400,il y a 7 mois,"Added slots game"
Huy Phan Anh Ha,2025-05-05 07:36:28 -0400,il y a 7 mois,"Inserted data into neon db"
Huy Phan Anh Ha,2025-05-02 12:10:05 -0400,il y a 7 mois,"Added changes to db"
Huy Phan Anh Ha,2025-05-01 21:28:46 -0400,il y a 7 mois,"Chess game added"
Huy Phan Anh Ha,2025-05-01 13:33:22 -0400,il y a 7 mois,"Chess page and game"
Huy Phan Anh Ha,2025-04-29 20:23:56 +0000,il y a 7 mois,"Modified the sports page and added match page."
Huy Phan Anh Ha,2025-04-29 20:00:11 +0000,il y a 7 mois,"Assistant checkpoint: Fix MainComponent function declaration syntax"
huyphananhha,2025-04-29 20:00:00 +0000,il y a 7 mois,"Checkpoint before assistant change: Enable sports betting and show game results with token balance updates"
Huy Phan Anh Ha,2025-04-28 14:52:20 +0000,il y a 7 mois,"Assistant checkpoint: Configure Next.js to run without turbopack"
Huy Phan Anh Ha,2025-04-27 21:55:43 -0400,il y a 7 mois,"Mines + crash games, reworked rankings page."
Huy Phan Anh Ha,2025-04-24 21:52:41 -0400,il y a 7 mois,"Database configured and some changes to the casino page/mines game"
Huy Phan Anh Ha,2025-04-24 21:19:19 -0400,il y a 7 mois,"Merge branch 'Test-1' of https://github.com/Hahuyphananh/Casino-app into Test-1"
Huy Phan Anh Ha,2025-04-24 20:24:23 +0000,il y a 7 mois,"error changed page"
Huy Phan Anh Ha,2025-04-24 20:07:23 +0000,il y a 7 mois,"Added a mines game page."
Huy Phan Anh Ha,2025-04-24 08:35:04 -0400,il y a 7 mois,"Added postgre database"
Huy Phan Anh Ha,2025-04-23 15:59:06 +0000,il y a 7 mois,"Created new sign up page"
Huy Phan Anh Ha,2025-04-23 01:26:26 +0000,il y a 7 mois,"Replit Commit test-1"
Huy Phan Anh Ha,2025-04-22 07:48:47 -0400,il y a 7 mois,"Commit 2 for test 1 branch"
Huy Phan Anh Ha,2025-04-21 22:03:04 -0400,il y a 7 mois,"Commit 2"
Huy Phan Anh Ha,2025-04-21 19:29:24 -0400,il y a 7 mois,"my first commit"
Huy Phan Anh Ha,2025-12-05T16:06:58-05:00,0,chess game logic and design changes
